H0,err+,err-,year
56,3,3,1998.2
51,4,4,1998.2
57,8,8,1998.212
58,19,18,1998.214
70,10,10,1998.22
57,7,7,1998.223
74,8,7,1998.231
60,6,6,1998.25
57,7,7,1998.344
62,6,6,1998.345
61,13,15,1998.9
68,5,5,1998.37
79,7,7,1998.382
61,5,5,1998.406
77,8,8,1998.444
55,10,10,1998.5
65,3,3,1998.55
87,11,11,1998.6
55,8,8,1998.621
49,29,29,1998.632
79,12,12,1998.667
47,14,14,1998.67
70,18,18,1998.678
71,13,13,1998.681
82,8,8,1998.714
77,4,4,1998.756
60,10,10,1998.775
53,38,28,1998.85
64,4,4,1998.869
42,9,9,1998.883
69,8,8,1999.07
64,4,4,1999
73,8,8,1999.02
58,11,11,1999.04
61,6,6,1999.095
44,7,7,1999.155
59,5,5,1999.21
77,29,24,1999.218
69,13,19,1999.253
65,5,5,1999.258
57,23,16,1999.288
46,14,11,1999.29
63,7,7,1999.3
62,5,5,1999.317
56,6,6,1999.322
52,5,4,1999.325
60,2,2,1999.328
65,2,2,1999.35
72,6,6,1999.352
70,5,6,1999.382
79,7,7,1999.403
68,10,10,1999.409
73,11,13,1999.41
78,11,11,1999.419
71,8,8,1999.42
69,7,7,1999.43
68,5,5,1999.44
68,6,6,1999.445
71,6,6,1999.445
79,7,7,1999.446
60,12,12,1999.447
63,12,12,1999.447
67,12,12,1999.447
69,18,12,1999.448
64,8,6,1999.458
65,8,8,1999.464
63,4,4,1999.516
77,7,7,1999.52
74,7,7,1999.538
59,8,7,1999.556
68,13,13,1999.557
74,18,17,1999.56
55,15,14,1999.56
71,7,5,1999.561
69,13,10,1999.562
65,1,1,1999.575
68,5,5,1999.618
66,6,6,1999.669
69,6,6,1999.672
71,7,7,1999.675
72,4,4,1999.689
71,6,6,1999.692
78,10,10,1999.706
60,20,15,1999.708
71,8,8,1999.711
71,6,6,1999.715
68,6,6,1999.717
69,13,19,1999.733
74,4,4,1999.803
57,3,3,1999.808
77,8,8,1999.846
81,10,10,1999.847
69,9,9,1999.866
61,11,11,1999.87
58,5,5,1999.88
63,21,21,1999.92
55,3,3,1999.97
70,12,12,1999.98
50,22,17,2000.01
70,15,32,2000.167
59,6,6,2000.267
71,7,7,2000.286
85,5,5,2000.35
92,5,5,2000.354
40,13,13,2000.4
67,2,2,2000.436
70,4,4,2000.508
71,7,7,2000.524
52,14,8,2000.53
65,8,8,2000.535
59,38,28,2000.586
65,2,2,2000.591
68,10,10,2000.63
62,18,18,2000.678
71,22,19,2000.681
62,8,2,2000.794
58,6,6,2000.814
71,6,6,2000.852
64,4,4,2000.853
69,13,19,2000.87
76,1,1,2000.88
73,2,2,2000.89
70,9,9,2000.892
73,7,7,2000.906
73,7,7,2000.91
63,6,6,2000.926
70,5,5,2000.928
72,8,8,2000.95
71,12,9,2000.968
79,4,4,2000.984
66,14,11,2001.029
64,14,11,2001.029
66,14,11,2001.03
64,14,11,2001.03
70,7,7,2001.098
73,4,4,2001.128
68,6,6,2001.143
63,7,7,2001.164
59,8,7,2001.179
65,8,7,2001.181
61,15,15,2001.379
69,4,4,2001.42
69,6,5,2001.447
65,6,6,2002.5
65,6,6,2001.532
59,6,6,2001.551
71,8,8,2001.6
60,10,10,2001.64
67,8,8,2001.796
48,4,4,2001.847
62,4,4,2001.847
73,11,11,2001.858
58,17,15,2001.925
73,11,11,2001.922
65,8,8,2001.943
77,4,4,2001.954
72,8,8,2001.964
57,2,2,2001.98
55,12,12,2002.046
72,7,7,2002.08
91,10,10,2002.086
44,9,9,2002.089
72,2,6,2002.143
48,7,4,2002.259
71,6,6,2002.261
62,7,7,2002.263
71,8,8,2002.355
72,4,13,2002.366
73,8,8,2002.389
51,5,5,2002.391
60,13,18,2002.395
78,7,7,2002.453
56,6,4,2002.597
57,2,2,2002.594
63,17,17,2002.645
51,9,9,2002.663
66,6,6,2002.655
59,12,7,2002.918
71,6,6,2002.949
72,15,13,2002.973
81,10,10,2003.04
67,4,4,2003.055
71,4,3,2003.122
70,3,3,2003.155
56,4,4,2003.177
57,2,2,2003.215
70,10,10,2003.218
77,20,20,2003.239
66,5,5,2003.25
72,8,8,2003.3
57,15,15,2003.376
59,11,11,2003.376
77,19,15,2003.39
85,20,17,2003.39
48,3,3,2003.422
71,3,3,2003.422
61,18,18,2003.431
75,7,6,2003.45
72,7,7,2003.648
58,4,3,2003.728
72,8,8,2003.74
70,4,3,2003.825
68,2,2,2003.9
78,6,6,2003.94
71,3,3,2004.04
31,19,17,2004.109
73,9,5,2004.141
69,8,8,2004.15
70,5,5,2004.347
57,15,14,2004.35
69,8,8,2004.387
67,5,5,2004.409
75,8,8,2004.42
