"신고항목별(1)",신고항목별(2),2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020
"신고항목별(1)",신고항목별(2),연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%,연말정산신고자,연말정산신고자,급여총계 상위 10%,급여총계 상위 10%
"신고항목별(1)",신고항목별(2),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원),인원 (명),금액 (백만원)
"과세소득(소득명세)",임원 퇴직소득금액 한도초과액,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,460,30268,213,29563,758,78891,458,77747,1630,129119,1086,126052,524,29373,253,28057,665,60970,362,59117,613,53798,417,52572,622,76724,435,75125,857,74751,605,73025
"과세소득(소득명세)",직무발명보상금,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1822,30630,1531,29416,1476,28893,1275,27950,1703,33660,1446,32435
"비과세소득",소계,-,11985096,-,2296321,11209607,24244355,1175457,5820268,5983820,11670699,893847,3082325,4684670,9283777,743442,2769172,3947535,8108905,654360,2587085,2593972,4798143,401692,1353594,2385866,4573025,391321,1349294,1894149,4087966,384575,1579498,2114467,4916910,397832,1719827,2120097,5067798,396049,1745980,1922909,4219672,378177,1525650,1880514,4109242,377083,1479878,1857926,4005037,389627,1465145,1984218,4122923,376994,1406463,2072102,4155522,375457,1368979,2076902,3948298,367646,1264162
"비과세소득",연구활동비,-,-,-,-,-,-,-,-,270025,335043,124936,201073,299167,371936,131510,214795,359401,425687,163014,242868,387656,459991,162324,246847,380345,474577,161721,249674,418630,515035,172557,261927,436140,509700,176918,256618,441249,561097,174955,266322,645880,671414,220994,273086,657922,703385,216637,274797,674470,731603,219542,281211,684563,738603,216272,276836,700871,762232,216661,282190,706457,774940,210552,277648
"비과세소득",국외근로수당,54579,638619,15367,217594,60414,527098,21468,220049,65330,577133,23395,239024,77487,708899,29687,321546,82942,903178,32448,483403,87103,948244,35311,512838,96090,1038245,38930,553300,104081,1545462,43237,872444,112554,1854889,46327,994000,117564,1936212,48237,1027563,115127,1882139,47258,1021565,111616,1867142,44689,993399,105187,1746624,42341,927552,102408,1674649,42725,895226,100218,1646047,41218,877542,89645,1370563,33807,727368
"비과세소득",야간근로수당,1174863,1498311,12408,7607,1121884,1435021,6682,4828,1045346,1362116,12786,10639,927589,1164473,749,327,817867,974266,1387,892,825386,961489,3141,2699,753260,847635,2773,1796,406754,402691,1694,1632,572640,863378,1903,1796,563805,860074,1925,1833,510329,777543,1328,1240,447978,666255,1310,1278,383975,534105,1988,1405,521326,733390,840,898,581524,791130,816,924,598823,783532,768,1029
"비과세소득",출산보육수당,-,-,-,-,-,-,-,-,-,-,-,-,286237,135365,43989,25912,368649,181465,56492,34658,416039,213179,70682,45382,420091,229970,71147,48519,473116,264421,74534,52466,484222,276104,74764,52259,480641,276265,71307,49602,478973,279497,74564,53483,491732,286629,75754,53995,494426,331801,76174,57243,488184,341420,75980,59846,481366,335689,76675,60122,470215,328019,74282,59931
"비과세소득",외국인근로자,-,-,-,-,-,-,-,-,-,-,-,-,155741,909809,8846,357864,195066,1097830,10041,392908,**,**,**,**,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"비과세소득",그밖의 비과세,6323510,9848166,826362,2071120,11036893,22282236,1171366,5595391,5144675,9396407,865428,2631589,3426282,5993295,638222,1848728,2535902,4526480,472673,1432355,1067853,2215240,163202,545828,899457,1982599,142996,496005,670835,1360357,118647,391029,690467,1412839,124509,415154,694921,1434150,123855,400661,300866,609079,56286,176276,306290,585831,59535,156409,335634,660903,75385,197734,319236,634861,66076,173657,336774,620424,64214,148201,337683,691245,72991,198186
"과세대상 근로소득(총급여)",소계,11868591,267387184,1190303,83442987,12567609,293627740,1262974,94716414,13292795,324809345,1337377,107124039,13957784,352638103,1404477,116676797,14250112,361466457,1429402,119089330,15142639,396289348,1517665,134700933,15480508,433266649,1553996,145593488,15716148,466684972,1576793,152825195,16295073,498028290,1635960,162795196,16629769,528660069,1668695,170357190,17263158,562509592,1733327,182047707,17668285,595990661,1774004,191332973,17925345,633611675,1800547,202771237,18501089,677488617,1857784,213876583,19074871,717531015,1916715,223167385,19410638,746316834,1949518,233647124
